"ProbeID","Symbol","EntrezID","logFC","AveExpr","t","P.Value","adj.P.Val","SE","Direction"
"200979_at","PDHA1","5160",1.18879241106394,5.53868695562321,8.89209710682984,3.98074789265256e-05,0.00191583164777488,0.133690893923195,"Upregulated"
"200986_at","SERPING1","710",1.35049910304788,6.9675100215463,9.70107561371115,2.22483345697163e-05,0.00143420958988207,0.139211274792986,"Upregulated"
"200994_at","IPO7","10527",1.07972488615601,8.10131161061739,3.65143354064316,0.0078224320158824,0.0363140109603974,0.295698901304892,"Upregulated"
"201008_s_at","TXNIP","10628",3.19848469635005,9.69739413619092,5.11656408709349,0.00127495944090345,0.0125896542827811,0.625123548128366,"Upregulated"
"201009_s_at","TXNIP","10628",2.65420932520937,9.70372674684507,4.0112350916368,0.00486468917321704,0.027376592492972,0.661693783728419,"Upregulated"
"201010_s_at","TXNIP","10628",2.80433653580666,10.2147314257781,4.36222665450245,0.00311836420164447,0.020953627600476,0.642868140038568,"Upregulated"
"201013_s_at","PAICS","10606",1.02633807171701,8.64355818010914,5.10595170982005,0.0012903785691699,0.0126231767691989,0.2010081822245,"Upregulated"
"201015_s_at","JUP","3728",-1.15704926837042,8.23463048081393,-6.74383046159216,0.000239081701293341,0.00496964323686523,0.171571523774228,"Downregulated"
"201019_s_at","EIF1AX","1964",1.13564180330308,7.51448510521482,3.10579390445644,0.0166571991353231,0.0573183884859328,0.365652660234014,"Upregulated"
"201028_s_at","CD99","4267",1.02076149744857,8.29442685583081,4.30978502175351,0.00332868853313675,0.0218074781383845,0.236847427956685,"Upregulated"
"201034_at","ADD3","120",1.76118431148937,9.40945865790017,9.82539433972351,2.04223069493421e-05,0.00137021332341259,0.179248206290204,"Upregulated"
"201036_s_at","HADH","3033",1.86592538767195,7.15034262323694,7.41192073368037,0.000131004846793971,0.00362181265646408,0.251746538409812,"Upregulated"
"201058_s_at","MYL9","10398",-2.1016522450078,8.4907657456525,-9.42897679979715,2.69262981021488e-05,0.00156249661617235,0.222892927793927,"Downregulated"
"201061_s_at","STOM","2040",1.12409975322649,8.15840570883741,3.44869648124611,0.0103089605512953,0.0429355502220645,0.325949169298982,"Upregulated"
"201069_at","MMP2","4313",-1.28792870982369,7.22090774920566,-2.71302781373643,0.0293733969982986,0.0821834904585876,0.474720053846381,"Downregulated"
"201079_at","SYNGR2","9144",-1.06896705939214,8.32612945160544,-5.85812173061532,0.000571234229552893,0.00814172620100678,0.182476074849311,"Downregulated"
"201089_at","ATP6V1B2","526",-1.30915321888929,9.33020570461833,-5.18722630334099,0.00117734990639888,0.0120731191736246,0.252380201350785,"Downregulated"
"201099_at","USP9X","8239",1.27021235533243,6.74724008517221,4.087858013741,0.00440767705440687,0.0258878144492841,0.310728100404348,"Upregulated"
"201110_s_at","THBS1","7057",1.21880618329728,8.78332567884506,8.0158729375781,7.88386891721622e-05,0.00279739253315811,0.152049089698461,"Upregulated"
"201129_at","SRSF7","6432",1.18323665658472,6.695004740953,4.00416735499122,0.00490937776779556,0.0275347759375254,0.295501299442393,"Upregulated"
"201141_at","GPNMB","10457",-3.07777669130599,5.37479425288486,-4.6115713138306,0.00229917090090884,0.0175093729271879,0.667403035072972,"Downregulated"
"201146_at","NFE2L2","4780",1.36319726185776,7.99463677689078,4.84902604469878,0.0017345874323647,0.0148603659190244,0.281128055261341,"Upregulated"
"201151_s_at","MBNL1","4154",1.10224754457138,4.53995369799577,9.92472878645775,1.90845628547838e-05,0.00132068731084829,0.111060721989239,"Upregulated"
"201153_s_at","MBNL1","4154",1.39447720691481,7.20015600240396,5.48787057971033,0.000845294366684542,0.010149396526823,0.254101693299847,"Upregulated"
"201160_s_at","YBX3","8531",1.13993276230617,10.0540104915018,7.80456180331587,9.38259725947445e-05,0.00305456900429971,0.146059803360369,"Upregulated"
"201222_s_at","RAD23B","5887",1.04026316912381,8.60819421172434,4.4461422951047,0.00281149691226031,0.019717986972844,0.233969832739983,"Upregulated"
"201237_at","CAPZA2","830",1.1324653514669,7.16852912418388,5.42109518347929,0.000908902664206813,0.0105340720179644,0.208899735779972,"Upregulated"
"201242_s_at","ATP1B1","481",2.16879437235375,10.8041213627345,18.5787164686855,2.49135619230443e-07,9.73945439177537e-05,0.116735425507422,"Upregulated"
"201243_s_at","ATP1B1","481",2.01581132178988,9.594537962745,14.5255334749596,1.39734167356411e-06,0.000275548358513532,0.138777093816548,"Upregulated"
"201275_at","FDPS","2224",-1.0215664263969,7.79344684051284,-3.32188639564201,0.012287939356789,0.0474518150461351,0.307525997197585,"Downregulated"
"201279_s_at","DAB2","1601",1.19481341230687,9.60413292255209,7.25853001765472,0.000149827339310491,0.00383580196162257,0.164608179535079,"Upregulated"
"201280_s_at","DAB2","1601",1.01735049580355,9.42829413296395,5.88889114963093,0.000553358105130562,0.00798606130610383,0.172757565041308,"Upregulated"
"201286_at","SDC1","6382",1.77796671313769,8.18845514821159,7.53384922296959,0.00011792971882873,0.00341720228485617,0.235997119203944,"Upregulated"
"201287_s_at","SDC1","6382",1.59941061434614,8.82769940601955,9.12954262289644,3.34052445287459e-05,0.00175355080815786,0.175190661833912,"Upregulated"
"201297_s_at","MOB1A","55233",1.12193870721698,5.44819156087897,9.82151627826796,2.04766430326434e-05,0.00137021332341259,0.114232739164673,"Upregulated"
"201301_s_at","ANXA4","307",1.39314691265874,11.476973844778,7.55621087474911,0.000115694509082321,0.00339828868801529,0.184371100244737,"Upregulated"
"201302_at","ANXA4","307",1.97941417298667,10.9413890017635,5.54317779429671,0.000796345865353009,0.00988027556662645,0.357090146923171,"Upregulated"
"201304_at","NDUFA5","4698",1.90229983337617,6.32671009810046,4.95374619307205,0.00153582901849171,0.0139978858157071,0.384012373511704,"Upregulated"
"201315_x_at","IFITM2","10581",2.05396165360815,10.0386307595969,8.42911571174391,5.66965319117239e-05,0.00237922565082663,0.24367463015681,"Upregulated"
"201340_s_at","ENC1","8507",-1.27050830636415,7.8605387739697,-11.4723842199282,7.13109586413137e-06,0.000749538722360563,0.110744922939139,"Downregulated"
"201341_at","ENC1","8507",-1.32636138172224,7.64454814658807,-5.58514081233826,0.000761308813396287,0.00958973673765374,0.237480383447476,"Downregulated"
"201348_at","GPX3","2878",4.12089609351919,8.56669178175535,17.2446163701436,4.2077542885559e-07,0.00014650217001858,0.238967107476736,"Upregulated"
"201349_at","NHERF1","9368",1.34778234572437,8.41165869428593,12.4532687075815,4.05952454344641e-06,0.000532453537409502,0.108227195395202,"Upregulated"
"201368_at","ZFP36L2","678",1.40646415244397,6.84509401432093,4.91188150570814,0.00161209791619171,0.0144035195936247,0.28633918607554,"Upregulated"
"201387_s_at","UCHL1","7345",-2.54798089702245,9.77043961217143,-20.2161621206396,1.37306346968711e-07,6.65129854239952e-05,0.126036825477428,"Downregulated"
"201398_s_at","TRAM1","23471",1.31988038724125,11.0067002311921,9.43740440325698,2.67657012373393e-05,0.00156189993734136,0.139856292137459,"Upregulated"
"201399_s_at","TRAM1","23471",1.61547232393253,10.2785315123902,7.07595923509101,0.000176305206093494,0.00425430206356987,0.228304357085764,"Upregulated"
"201407_s_at","PPP1CB","5500",1.02405528599868,4.99670080491901,5.05404418088921,0.00136883355099417,0.0131303133950938,0.202620960432227,"Upregulated"
"201409_s_at","PPP1CB","5500",1.15202989775578,7.17301192626157,8.10218667573542,7.35081822916661e-05,0.0026852177475495,0.14218752836267,"Upregulated"
"201427_s_at","SELENOP","6414",4.44621800782413,6.20411957614434,25.0167709703263,3.0355785980779e-08,5.22440901593793e-05,0.177729492471192,"Upregulated"
"201428_at","CLDN4","1364",-1.17739163472578,6.39117111225505,-4.96028570450412,0.00152427967953505,0.0139387238741607,0.2373636731563,"Downregulated"
"201432_at","CAT","847",1.49551783064246,10.0044949593593,7.55958650608128,0.00011536124605639,0.00339576571449739,0.197830639207501,"Upregulated"
"201445_at","CNN3","1266",1.3289703280486,8.90325322460576,3.20885724000547,0.0143964938419431,0.0523750322089826,0.414156887841584,"Upregulated"
"201446_s_at","TIA1","7072",1.11762526751648,6.645550328514,8.01995919965028,7.85767311595652e-05,0.00279700527225015,0.139355480457459,"Upregulated"
"201448_at","TIA1","7072",1.437395731675,5.66279977811772,15.5321043441331,8.7559843824825e-07,0.00021990074197843,0.0925435278972963,"Upregulated"
"201462_at","SCRN1","9805",-1.03977904265003,8.43940616690094,-7.42262563541391,0.000129793906726562,0.00360890679134568,0.140082377008099,"Downregulated"
"201467_s_at","NQO1","1728",1.24203075445873,7.16004460856633,4.69309829883612,0.00208523944713624,0.0165770212631241,0.264650487880629,"Upregulated"
"201474_s_at","ITGA3","3675",-1.28937246061236,9.12706072508143,-12.4629958412524,4.03774167677155e-06,0.000532453537409502,0.103456061209982,"Downregulated"
"201508_at","IGFBP4","3487",2.5316117712919,7.43090618802252,8.01100172728459,7.91522535050759e-05,0.0028024350569575,0.316016879970142,"Upregulated"
"201512_s_at","TOMM70","9868",1.23268051816995,7.39332434112408,12.2025347082934,4.66974848664368e-06,0.00057808891959934,0.10101839885218,"Upregulated"
"201519_at","TOMM70","9868",1.06310058837093,8.68156439341523,6.45009494984837,0.000316030445384535,0.00576610904867365,0.164819370356079,"Upregulated"
"201539_s_at","FHL1","2273",1.15633986834913,6.98251053248442,6.8615257279444,0.00021434282763573,0.00468746074472444,0.168525181453418,"Upregulated"
"201551_s_at","LAMP1","3916",1.3293553470814,6.93813034252591,7.41496824213111,0.000130658824438671,0.00362123207085436,0.179279978507275,"Upregulated"
"201563_at","SORD","6652",1.05483843034859,6.90234559721055,5.28684884269269,0.00105351440554169,0.011432016031208,0.199521200952539,"Upregulated"
"201564_s_at","FSCN1","6624",-1.63421513548524,7.52980479510467,-6.81502758531122,0.000223756339616067,0.00479880896599116,0.239795821077459,"Downregulated"
"201565_s_at","ID2","3398",3.19979993737929,7.71350745017376,17.3022009006726,4.11037863828949e-07,0.000145383439995246,0.184936006450769,"Upregulated"
"201566_x_at","ID2","3398",2.22087955548272,5.28644408784211,7.32783478222336,0.000140970650343601,0.00371707010543619,0.303074458074624,"Upregulated"
"201580_s_at","TMX4","56255",1.05948464758756,7.03960837161193,6.68525357917688,0.000252575400108631,0.00507439505139468,0.158480846693329,"Upregulated"
"201581_at","TMX4","56255",1.76726036850527,7.05486139620266,6.49147865372065,0.000303675071677418,0.00563015508733228,0.272243114824439,"Upregulated"
"201589_at","SMC1A","8243",1.63859176394894,7.23629881164706,11.0222373747804,9.37318901863657e-06,0.000868406061467363,0.148662354858928,"Upregulated"
"201601_x_at","IFITM1","8519",3.954988349502,8.62303737427936,20.3981632070915,1.28882609099301e-07,6.65129854239952e-05,0.193889435502067,"Upregulated"
"201625_s_at","INSIG1","3638",-1.27414855995759,6.26882139903974,-2.86789764610533,0.0234397345870957,0.0710934694814759,0.444279649131798,"Downregulated"
"201626_at","INSIG1","3638",-1.39980677510451,8.37141412100396,-3.01982201559489,0.0188313987163476,0.0620005995266508,0.463539495995349,"Downregulated"
"201627_s_at","INSIG1","3638",-1.66915923076307,7.75359490690032,-3.52616235768456,0.00927061621486078,0.0402684485605736,0.473364258774267,"Downregulated"
"201631_s_at","IER3","8870",-1.16503211248879,10.7760734197893,-6.7086930051456,0.000247076081296707,0.00504637609489874,0.173660072326339,"Downregulated"
"201645_at","TNC","3371",-1.33235927318959,9.16580104373433,-4.0224841024265,0.00479447437212582,0.0272191776902114,0.331227977355053,"Downregulated"
"201646_at","SCARB2","950",1.14315682292902,7.67906172535376,2.80413015968058,0.0257146316850207,0.075394623399647,0.407668958939921,"Upregulated"
"201650_at","KRT19","3880",-2.37352699723812,10.4160462544758,-22.9607797391811,5.57796384801455e-08,5.37040568618506e-05,0.10337310074831,"Downregulated"
"201654_s_at","HSPG2","3339",-1.21863351302344,6.25525749274111,-6.66906033362351,0.000256454709835564,0.0051114313946922,0.182729417948048,"Downregulated"
"201655_s_at","HSPG2","3339",-1.36548764780406,9.43623733206915,-7.70320920084626,0.0001021337585554,0.00320541766463379,0.177262178944075,"Downregulated"
"201667_at","GJA1","2697",-3.96315307299395,7.48721616931709,-13.7478090232131,2.04850273695365e-06,0.000340647660354763,0.288275249263513,"Downregulated"
"201689_s_at","TPD52","7163",1.07788730224996,6.53116892584402,3.41286047658904,0.0108309971785024,0.0441008778964223,0.315831048366575,"Upregulated"
"201700_at","CCND3","896",1.05449774441107,8.40269500023434,5.04023978485266,0.00139057693181699,0.0132433218344284,0.209215789213071,"Upregulated"
"201701_s_at","PGRMC2","10424",1.4980253575984,7.69262217600682,11.4767260244356,7.11265545496909e-06,0.000749538722360563,0.130527238727219,"Upregulated"
"201722_s_at","GALNT1","2589",1.26566376528156,7.75751854604696,8.31042822874354,6.22402967071493e-05,0.0024944254164126,0.152298260744732,"Upregulated"
"201723_s_at","GALNT1","2589",1.00565172656516,8.50521884910288,8.25936651611309,6.48113024229931e-05,0.00255157288320063,0.121758941754582,"Upregulated"
"201724_s_at","GALNT1","2589",1.64936507915512,7.32404876600868,11.3206531223495,7.81085196214108e-06,0.000788688707057708,0.14569522282234,"Upregulated"
"201732_s_at","CLCN3","1182",1.03500751127054,6.63278145019715,4.71871732411794,0.00202261853588121,0.016259021946263,0.219340859004309,"Upregulated"
"201737_s_at","MARCHF6","10299",1.43196409889703,7.27334654431693,4.93409552045237,0.00157112001376333,0.0141789071353589,0.290218155072471,"Upregulated"
