"RowName","ProbeID","logFC","AveExpr","t","P.Value","SE.x","df","adj.P.Val","Symbol","EntrezID.x","Direction","Gene","EntrezID.y","SE.y","EntrezID","SE","CI_lower","CI_upper"
"27","206170_at",-1.38851319112494,6.30462285107684,-5.12237967011024,0.00126659639630606,0.27106799584324,7.17350958619789,0.0125829547476094,"ADRB2","154","Downregulated","ADRB2",NA,NA,"154",0.27106799584324,-2.14111860135968,-0.635907780890201
"28","201792_at",-1.21262254625618,6.67243511096686,-3.612111825555,0.00824878908689477,0.33571013435329,7.17350958619789,0.0374888368801298,"AEBP1","165","Downregulated","AEBP1",NA,NA,"165",0.33571013435329,-2.14470330554666,-0.28054178696569
"29","203566_s_at",1.82358481168441,6.31202333973794,7.46038993932207,0.000125621381857836,0.244435589361448,7.17350958619789,0.00353883849802549,"AGL","178","Upregulated","AGL",NA,NA,"178",0.244435589361448,1.14492281606568,2.50224680730314
"30","205401_at",1.04325664678734,6.42085052847378,2.94297553107429,0.0210295578381576,0.354490425004151,7.17350958619789,0.0666100408397535,"AGPS","8540","Upregulated","AGPS",NA,NA,"8540",0.354490425004151,0.0590334414450827,2.02747985212961
"31","200848_at",1.66837428310615,9.19133851117131,15.3627876569,9.45288379034198e-07,0.108598408073213,7.17350958619789,0.000227091348842573,"AHCYL1","10768","Upregulated","AHCYL1",NA,NA,"10768",0.108598408073213,1.366856764579,1.96989180163329
"32","202820_at",1.65552914970246,7.18884151799061,10.2094081794732,1.57679566852624e-05,0.162157210349472,7.17350958619789,0.00117905160677081,"AHR","196","Upregulated","AHR",NA,NA,"196",0.162157210349472,1.20530855675514,2.10574974264978
"33","206460_at",-1.95592082836169,5.34529552293376,-16.089860307895,6.84112142662248e-07,0.121562325025405,7.17350958619789,0.000183663504517384,"AJAP1","55966","Downregulated","AJAP1",NA,NA,"55966",0.121562325025405,-2.29343195065494,-1.61840970606844
"34","212174_at",1.4931574088226,6.96340542911193,12.464839082223,4.03362888885944e-06,0.119789545534695,7.17350958619789,0.000532453537409502,"AK2","204","Upregulated","AK2",NA,NA,"204",0.119789545534695,1.16056831146893,1.82574650617627
"35","204348_s_at",1.69731467531318,9.69517731771522,4.50728523321677,0.00260881231929511,0.376571392199609,7.17350958619789,0.0189092444672599,"AK4","205","Upregulated","AK4",NA,NA,"205",0.376571392199609,0.651784876683056,2.7428444739433
"36","211653_x_at",1.24505356820221,7.43009212926995,3.45256019926775,0.0102543115399785,0.360617482778802,7.17350958619789,0.0427976819714069,"AKR1C2","1646","Upregulated","AKR1C2",NA,NA,"1646",0.360617482778802,0.24381892329226,2.24628821311217
"37","209160_at",2.5152647456472,9.53121919104412,6.03176039230259,0.000478132173843858,0.417003425543403,7.17350958619789,0.00733383725129531,"AKR1C3","8644","Upregulated","AKR1C3",NA,NA,"8644",0.417003425543403,1.35747762594651,3.67305186534789
"38","212224_at",4.49190228499854,8.22105860534918,7.54223038359467,0.000117086321319544,0.595566835875103,7.17350958619789,0.00341050261171687,"ALDH1A1","216","Upregulated","ALDH1A1",NA,NA,"216",0.595566835875103,2.83834365871497,6.14546091128211
"39","203180_at",-1.2853845441226,9.01312330016244,-4.67197544652204,0.00213847905616169,0.275126562379407,7.17350958619789,0.016827269557194,"ALDH1A3","220","Downregulated","ALDH1A3",NA,NA,"220",0.275126562379407,-2.0492583415508,-0.521510746694403
"40","205208_at",1.78226177297362,6.4208369699509,12.7715872901925,3.41090085025676e-06,0.139548963842752,7.17350958619789,0.000484108940422111,"ALDH1L1","10840","Upregulated","ALDH1L1",NA,NA,"10840",0.139548963842752,1.39481173537699,2.16971181057026
"41","221589_s_at",2.21987460104975,5.5411471896203,20.3599913153523,1.30599486680827e-07,0.109031215518047,7.17350958619789,6.65129854239952e-05,"ALDH6A1","4329","Upregulated","ALDH6A1",NA,NA,"4329",0.109031215518047,1.9171554164109,2.5225937856886
"42","220148_at",4.2334733113833,7.03675407329692,21.3776294833505,9.25101078351588e-08,0.198032869578942,7.17350958619789,6.65129854239952e-05,"ALDH8A1","64577","Upregulated","ALDH8A1",NA,NA,"64577",0.198032869578942,3.68364591997257,4.78330070279402
"43","204174_at",-1.90556917411238,5.91871265983482,-17.3469130616665,4.03653473709212e-07,0.109850621106953,7.17350958619789,0.000145074360559071,"ALOX5AP","241","Downregulated","ALOX5AP",NA,NA,"241",0.109850621106953,-2.21056339338771,-1.60057495483704
"44","214846_s_at",-1.20509733228749,6.64539403043245,-6.62629537633484,0.000267024462035549,0.181865924146904,7.17350958619789,0.00522397373796149,"ALPK3","57538","Downregulated","ALPK3",NA,NA,"57538",0.181865924146904,-1.71003808718744,-0.700156577387549
