"ProbeID","Symbol","EntrezID","GeneName","IQR"
"207656_s_at","ACOX1","51","acyl-CoA oxidase 1",0.383294060888847
"205364_at","ACOX2","8309","acyl-CoA oxidase 2",0.168729908518729
"204241_at","ACOX3","8310","acyl-CoA oxidase 3, pristanoyl",0.433209295081095
"220845_at","ACOXL","55289","acyl-CoA oxidase like",0.12175750714685
"201630_s_at","ACP1","52","acid phosphatase 1",0.157497005818204
"202767_at","ACP2","53","acid phosphatase 2, lysosomal",0.211005750507534
"204393_s_at","ACP3","55","acid phosphatase 3",0.123199174045134
"204638_at","ACP5","54","acid phosphatase 5, tartrate resistant",0.287436274747372
"218795_at","ACP6","51205","acid phosphatase 6, lysophosphatidic",0.166187842798041
"207427_at","ACR","49","acrosin",0.254099075744914
"207991_x_at","ACRV1","56","acrosomal vesicle protein 1",0.384231837321378
"206465_at","ACSBG1","23205","acyl-CoA synthetase bubblegum family member 1",0.31188592189678
"221716_s_at","ACSBG2","81616","acyl-CoA synthetase bubblegum family member 2",0.349555885159766
"218844_at","ACSF2","80221","acyl-CoA synthetase family member 2",0.673454176160476
"201963_at","ACSL1","2180","acyl-CoA synthetase long chain family member 1",3.23157769706649
"201662_s_at","ACSL3","2181","acyl-CoA synthetase long chain family member 3",0.336514963056478
"202422_s_at","ACSL4","2182","acyl-CoA synthetase long chain family member 4",0.153120186538479
"218322_s_at","ACSL5","51703","acyl-CoA synthetase long chain family member 5",0.455009709065711
"216409_at","ACSL6","23305","acyl-CoA synthetase long chain family member 6",0.0908273547940386
"215432_at","ACSM1","116285","acyl-CoA synthetase medium chain family member 1",0.431603461181259
"214069_at","ACSM2A","123876","acyl-CoA synthetase medium chain family member 2A",1.80404566490345
"210377_at","ACSM3","6296","acyl-CoA synthetase medium chain family member 3",0.257890115777244
"220061_at","ACSM5","54988","acyl-CoA synthetase medium chain family member 5",0.240467555205691
"219616_at","ACSS3","79611","acyl-CoA synthetase short chain family member 3",0.25099916182863
"203872_at","ACTA1","58","actin alpha 1, skeletal muscle",0.0817454787455301
"200974_at","ACTA2","59","actin alpha 2, smooth muscle",0.154723477637918
"200801_x_at","ACTB","60","actin beta",0.472214469937372
"205132_at","ACTC1","70","actin alpha cardiac muscle 1",0.126955387841757
"211995_x_at","ACTG1","71","actin gamma 1",0.163720787290629
"202274_at","ACTG2","72","actin gamma 2, smooth muscle",0.221638849723272
"202666_s_at","ACTL6A","86","actin like 6A",0.780385805461759
"206014_at","ACTL6B","51412","actin like 6B",1.28528870027134
"220501_at","ACTL7A","10881","actin like 7A",0.445134289583571
"220498_at","ACTL7B","10880","actin like 7B",0.377282342714781
"214957_at","ACTL8","81569","actin like 8",0.263245384078489
"222052_at","ACTMAP","284325","actin maturation protease",0.2359727133055
"208637_x_at","ACTN1","87","actinin alpha 1",0.558253620400221
"203862_s_at","ACTN2","88","actinin alpha 2",0.409958696310194
"206891_at","ACTN3","89","actinin alpha 3",0.508590141047854
"200601_at","ACTN4","81","actinin alpha 4",0.068449552565248
"222230_s_at","ACTR10","55860","actin related protein 10",0.229327790727798
"200721_s_at","ACTR1A","10121","actin related protein 1A",0.120689885514168
"202135_s_at","ACTR1B","10120","actin related protein 1B",0.0419467694720774
"200727_s_at","ACTR2","10097","actin related protein 2",0.970009865288063
"213101_s_at","ACTR3","10096","actin related protein 3",0.371404294235179
"218868_at","ACTR3B","57180","actin related protein 3B",0.191953473549591
"222147_s_at","ACTR5","79913","actin related protein 5",0.106908590012713
"218395_at","ACTR6","64431","actin related protein 6",0.719310149450091
"218658_s_at","ACTR8","93973","actin related protein 8",0.0967670897914115
